feature,importance
area,1415498.45589075
stories,654992.6424348144
total_rooms,603095.1303546015
bathrooms,562538.0573136857
parking,546027.045142086
amenity_score,515875.88647936564
mainroad,394834.4589027002
bedrooms,320831.45566831244
airconditioning,266710.0435854491
basement,252758.67873560428
prefarea,175480.57937329877
guestroom,160198.856665055
furnishingstatus_furnished,155203.5629414581
furnishingstatus_unfurnished,127286.18237788272
hotwaterheating,43925.58272109466
furnishingstatus_semi-furnished,29391.223833353237
area_tier,23216.398763533147
area_per_room,13965.23320630001
