feature,importance
area,0.3951234196745596
total_rooms,0.2277918198935948
amenity_score,0.13624644211892273
stories,0.051445154579230795
area_per_room,0.04539289225058439
mainroad,0.030417999726098478
parking,0.02391191936157193
bathrooms,0.02334774762925205
furnishingstatus_furnished,0.012407140599441488
basement,0.010550450869502837
hotwaterheating,0.01046056973664147
furnishingstatus_unfurnished,0.0061162848580814996
furnishingstatus_semi-furnished,0.0055520615821216595
guestroom,0.005169684942328228
prefarea,0.004950598178820662
bedrooms,0.004924262248014699
area_tier,0.0042562942569248415
airconditioning,0.001935257494307797
