feature,importance
area,0.3978649711933087
total_rooms,0.22557294793823163
amenity_score,0.1499003161910661
stories,0.07405641399899332
parking,0.03925259756054604
bathrooms,0.034692442948961455
area_per_room,0.02662416319222764
mainroad,0.02048878755268976
hotwaterheating,0.008387653039544236
furnishingstatus_furnished,0.006709516238610691
furnishingstatus_unfurnished,0.0037270236729295162
basement,0.0034689940335710244
bedrooms,0.0025582410418207076
prefarea,0.002222720954320422
airconditioning,0.0021132498117182566
guestroom,0.0019608157748767954
furnishingstatus_semi-furnished,0.0002673629499174056
area_tier,0.00013178190666614012
