feature,importance
area,0.415463266636772
total_rooms,0.2117626477787481
amenity_score,0.15138903388962144
stories,0.05367414638410941
area_per_room,0.033018677338027755
parking,0.032240611095769145
bathrooms,0.031795867898321256
mainroad,0.015331468622745308
bedrooms,0.009564357580488738
furnishingstatus_furnished,0.006677154950668227
hotwaterheating,0.006032942887903289
basement,0.006011882787886738
prefarea,0.0056549068684759625
furnishingstatus_unfurnished,0.005598221051115258
airconditioning,0.004902519699417413
guestroom,0.004779487563541447
furnishingstatus_semi-furnished,0.003379705404494703
area_tier,0.002723101561893823
